deliveryScheduling,deliveryFee,address,state,city,zip
1,3.99,6140 N WESTERN AVE,IL,CHICAGO,60659
1,3.99,5414 S ARCHER AVE,IL,CHICAGO,60638
0,0.0,2351 E 71ST ST,IL,CHICAGO,60649
0,0.0,6500 N CLARK ST,IL,CHICAGO,60626
1,3.99,3019 W PETERSON AVE,IL,CHICAGO,60659
1,3.99,11 E 75TH ST,IL,CHICAGO,60619
1,3.99,7111 S WESTERN AVE,IL,CHICAGO,60636
1,3.99,811 MADISON ST,IL,OAK PARK,60302
1,3.99,5935 W ADDISON ST,IL,CHICAGO,60634
1,3.99,4343 N CENTRAL AVE,IL,CHICAGO,60634
1,3.99,1213 W 79TH ST,IL,CHICAGO,60620
1,3.99,5874 S ARCHER AVE,IL,CHICAGO,60638
1,3.99,2015 E 79TH ST,IL,CHICAGO,60649
1,3.99,7200 ROOSEVELT RD,IL,FOREST PARK,60130
1,3.99,7113 CERMAK RD,IL,BERWYN,60402
1,3.99,7251 LAKE ST,IL,RIVER FOREST,60305
1,3.99,6800 OGDEN AVE,IL,BERWYN,60402
1,3.99,7045 S PULASKI RD,IL,CHICAGO,60629
1,3.99,7200 W NORTH AVE,IL,ELMWOOD PARK,60707
1,3.99,7410 N CLARK ST,IL,CHICAGO,60626
1,3.99,6809 W BELMONT AVE,IL,CHICAGO,60634
1,3.99,5230 N MILWAUKEE AVE,IL,CHICAGO,60630
1,3.99,8628 S COTTAGE GROVE AVE,IL,CHICAGO,60619
1,3.99,7510 N WESTERN AVE,IL,CHICAGO,60645
1,3.99,2828 N HARLEM AVE,IL,ELMWOOD PARK,60707
1,3.99,6798 N LINCOLN AVE,IL,LINCOLNWOOD,60712
1,3.99,1616 E 87TH ST,IL,CHICAGO,60617
1,3.99,6016 W 63RD ST,IL,CHICAGO,60638
1,3.99,635 CHICAGO AVE,IL,EVANSTON,60202
1,3.99,4101 N HARLEM AVE,IL,NORRIDGE,60706
1,3.99,100 LAKE ST,IL,MAYWOOD,60153
1,3.99,7150 W ARCHER AVE,IL,CHICAGO,60638
1,3.99,9148 S. COMMERCIAL AVE,IL,CHICAGO,60617
1,3.99,900 DODGE AVE,IL,EVANSTON,60202
1,3.99,1633 W 95TH ST,IL,CHICAGO,60643
1,3.99,7155 W FOSTER PL,IL,CHICAGO,60656
1,3.99,8361 BELMONT AVE,IL,RIVER GROVE,60171
1,3.99,6310 N NAGLE AVE,IL,CHICAGO,60646
1,3.99,5555 W 79TH ST,IL,BURBANK,60459
1,3.99,5600 W TOUHY AVE,IL,NILES,60714
1,3.99,4101 1ST AVE,IL,LYONS,60534
1,3.99,1600 W ROOSEVELT RD,IL,BROADVIEW,60155
1,3.99,8701 S CICERO AVE,IL,HOMETOWN,60456
1,3.99,8000 BROADVIEW VILLAGE SQ,IL,BROADVIEW,60155
1,3.99,1445 W NORTH AVE,IL,MELROSE PARK,60160
1,3.99,4850 OAKTON ST,IL,SKOKIE,60077
1,3.99,10300 S MICHIGAN AVE,IL,CHICAGO,60628
1,3.99,3945 DEMPSTER ST,IL,SKOKIE,60076
0,0.0,4440 W 95TH ST,IL,OAK LAWN,60453
1,3.99,5753 N CANFIELD AVE,IL,CHICAGO,60631
1,3.99,4820 N CUMBERLAND AVE,IL,NORRIDGE,60706
1,3.99,2345 W 103RD ST,IL,CHICAGO,60643
1,3.99,2100 GREEN BAY RD,IL,EVANSTON,60201
1,3.99,4740 W 95TH ST,IL,OAK LAWN,60453
1,3.99,9595 GRAND AVE,IL,FRANKLIN PARK,60131
1,3.99,7878 S HARLEM AVE,IL,BRIDGEVIEW,60455
1,3.99,9150 SKOKIE BLVD,IL,SKOKIE,60077
